,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,neighborhood
404,C32005,Washington St at Lenox St,42.33509899,-71.07903779,Boston,Yes,15,405,POINT (-71.07903779 42.33509899),Roxbury
405,B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,406,POINT (-71.081198 42.332817),Roxbury
406,C32006,Washington St at Rutland St,42.3385146,-71.07404083,Boston,Yes,27,407,POINT (-71.07404083 42.3385146),South End
407,C32038,Washington St at Talbot Ave,42.290333,-71.071806,Boston,Yes,17,408,POINT (-71.071806 42.290333),Dorchester
409,D32002,Washington St at Waltham St,42.34157472,-71.0689044,Boston,Yes,15,410,POINT (-71.0689044 42.34157472),South End
410,C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Boston,Yes,15,411,POINT (-71.04569256 42.351586),South Boston Waterfront
415,B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Boston,Yes,12,416,POINT (-71.09627098 42.33758601),Fenway
416,D32022,West End Park,42.36590788,-71.06446669,Boston,Yes,35,417,POINT (-71.06446669 42.36590788),West End
418,B32059,Whittier St Health Center,42.33286288,-71.09218862,Boston,Yes,19,419,POINT (-71.09218862 42.33286288),Roxbury
419,D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,23,420,POINT (-71.107669 42.306539),Jamaica Plain
