"Common Name","Scientific Name","Scientific Name_url","Entity Description","ESA Listing Date","Delisting Date","Delisting Reason","Foreign or Domestic","Lead Agency"
"Cumberland sandwort","Arenaria cumberlandensis","https://ecos.fws.gov/ecp/species/2514","Wherever found","06-23-1988","09-15-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"White-haired goldenrod","Solidago albopilosa","https://ecos.fws.gov/ecp/species/5300","Wherever found","04-07-1988","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Black-capped Vireo","Vireo atricapilla","https://ecos.fws.gov/ecp/species/5716","Wherever found","10-06-1987","05-16-2018","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Hualapai Mexican vole","Microtus mexicanus hualpaiensis","https://ecos.fws.gov/ecp/species/6762","Wherever found","10-01-1987","06-23-2017","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Running buffalo clover","Trifolium stoloniferum","https://ecos.fws.gov/ecp/species/2529","","06-05-1987","09-07-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Flat pigtoe","Pleurobema marshalli","https://ecos.fws.gov/ecp/species/5630","Wherever found","04-07-1987","11-16-2023","Species is extinct","Domestic","FWS"
"Stirrupshell","Quadrula stapes","https://ecos.fws.gov/ecp/species/5863","Wherever found","04-07-1987","11-16-2023","Species is extinct","Domestic","FWS"
"Dismal Swamp southeastern shrew","Sorex longirostris fisheri","https://ecos.fws.gov/ecp/species/4251","Wherever found","09-26-1986","02-28-2000","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Domestic","FWS"
"Concho water snake","Nerodia paucimaculata","https://ecos.fws.gov/ecp/species/1239","Wherever found","09-03-1986","11-28-2011","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Florida golden aster","Chrysopsis floridana","https://ecos.fws.gov/ecp/species/5352","","05-16-1986","04-04-2024","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Tumamoc globeberry","Tumamoca macdougalii","https://ecos.fws.gov/ecp/species/4722","Wherever found","04-29-1986","06-18-1993","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Both Domestic and Foreign","FWS"
"Maguire daisy","Erigeron maguirei","https://ecos.fws.gov/ecp/species/6851","Wherever found","09-05-1985","02-18-2011","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Virginia northern flying Squirrel","Glaucomys sabrinus fuscus","https://ecos.fws.gov/ecp/species/2197","Wherever found","07-31-1985","03-04-2013","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Modoc Sucker","Catostomus microps","https://ecos.fws.gov/ecp/species/6114","Wherever found","06-11-1985","01-07-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Least tern","Sternula antillarum","https://ecos.fws.gov/ecp/species/8505","U.S.A. (AR, CO, IA, IL, IN, KS, KY, LA_Miss. R. and tribs. N of Baton Rouge, MS_Miss. R., MO, MT, ND, NE, NM, OK, SD, TN, TX_except within 50 miles of coast)","05-28-1985","02-12-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Foskett speckled dace","Rhinichthys osculus ssp.","https://ecos.fws.gov/ecp/species/6519","Wherever found","03-28-1985","10-15-2019","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"San Benito evening-primrose","Camissonia benitensis","https://ecos.fws.gov/ecp/species/806","Wherever found","02-12-1985","03-07-2022","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Guam broadbill","Myiagra freycineti","https://ecos.fws.gov/ecp/species/3636","Wherever found","08-27-1984","02-23-2004","Species is extinct","Domestic","FWS"
"Bridled white-eye","Zosterops conspicillatus conspicillatus","https://ecos.fws.gov/ecp/species/1472","Wherever found","08-27-1984","11-16-2023","Species is extinct","Domestic","FWS"
"Little Mariana fruit Bat","Pteropus tokudae","https://ecos.fws.gov/ecp/species/5125","Wherever found","08-27-1984","11-16-2023","Species is extinct","Domestic","FWS"
"Johnston's frankenia","Frankenia johnstonii","https://ecos.fws.gov/ecp/species/8482","Wherever found","08-07-1984","02-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Arizona agave","Agave arizonica","https://ecos.fws.gov/ecp/species/1708","","05-18-1984","06-19-2006","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
