state,location,address,latitude,longitude
Massachusetts,Boston,"101 Summer St Boston, MA 02110 US",42.35340097,-71.05809176
Massachusetts,Boston,"148 Brookline Ave Boston, MA 02215 US",42.3446571,-71.1008254
Massachusetts,Boston,"283 Washington St Boston, MA 02108 US",42.35754931,-71.05842906
Massachusetts,Boston,"51 Boston Wharf Rd Boston, MA 02210 US",42.35104803,-71.04572392
Massachusetts,Boston,"553 Boylston St Boston, MA 02116 US",42.3506571,-71.0761336
Massachusetts,Boston,"8 Park Plz Boston, MA 02116 US",42.35175378,-71.06697289
